"year","LEVEL","cnty","own_code","naics","employment","wages","largest_firm","total_firms"
2013.0,"2","029","5","42",151.33333333333334,6067799.0,45.166666666666664,34
2013.0,"2","029","5","44-45",1156.8333333333333,28460239,244.25000000000003,116
2013.0,"2","029","5","48-49",59.083333333333336,2158050.0,7.583333333333333,27
2013.0,"2","029","5","51",144.58333333333334,4053420.0,28.666666666666668,19
2013.0,"2","029","5","52",251.24999999999994,9266073.0,39.666666666666664,40
2013.0,"2","029","5","53",72.16666666666667,1907614.0,7.0,39
2013.0,"2","029","5","54",165.58333333333337,6039526.0,9.833333333333332,95
2013.0,"2","029","5","55",24.916666666666668,2774812.0,12.833333333333334,4
2013.0,"2","029","5","56",160.66666666666669,4587800.0,45.583333333333336,36
2013.0,"2","029","5","61",12.25,295948.0,5.0,7
2013.0,"2","029","5","62",1122.4166666666665,28135020,181.25,75
2013.0,"2","029","5","71",29.25,744282.0,12.083333333333334,15
2013.0,"2","029","5","72",693.9166666666665,8559132.0,49.5,84
2013.0,"2","029","5","81",193.08333333333331,5697155.0,14.083333333333334,58
2013.0,"2","029","5","99",0.3333333333333333,15800.0,0.25,4
2013.0,"2","031","5","11",182.83333333333331,4483872.0,45.91666666666667,20
2013.0,"2","031","5","21",8211.666666666666,1475603803,1224.8333333333333,361
2013.0,"2","031","5","22",1762.0,185877412,794.25,34
2013.0,"2","031","5","23",15638.000000000002,885246853,805.3333333333334,1597
2013.0,"2","031","5","31-33",19833.5,1010369536,532.1666666666667,859
2013.0,"2","031","5","42",25212.16666666666,1885927396,732.5,2629
2013.0,"2","031","5","44-45",27946.166666666653,834382645,372.0,2401
2013.0,"2","031","5","48-49",23482.750000000007,1250880420,3263.9166666666665,541
2013.0,"2","031","5","51",11553.583333333328,1054987149,989.9166666666667,673
2013.0,"2","031","5","52",24868.33333333337,2584156829,1768.25,1882
2013.0,"2","031","5","53",10413.00000000001,646102175,289.50000000000006,1635
2013.0,"2","031","5","54",43400.08333333343,3970624456,701.5833333333333,6325
2013.0,"2","031","5","55",11565.91666666667,1587720544,740.3333333333334,422
2013.0,"2","031","5","56",32994.6666666667,1189877212,1386.4166666666667,1696
2013.0,"2","031","5","61",10887.166666666664,494206602,3557.4166666666665,489
2013.0,"2","031","5","62",42841.6666666667,2150430096,2442.4166666666665,2309
2013.0,"2","031","5","71",8013.666666666662,418666518,557.6666666666667,375
2013.0,"2","031","5","72",44709.0833333333,941866381,630.8333333333333,2108
2013.0,"2","031","5","81",15248.666666666677,569655798,282.16666666666663,2945
2013.0,"2","031","5","99",91.58333333333336,5216009.0,7.5,148
2013.0,"2","033","5","11",12.5,251393.0,8.333333333333334,3
2013.0,"2","033","5","21",4.583333333333334,333204.0,3.916666666666667,2
2013.0,"2","033","5","23",108.83333333333331,7149173.0,95.74999999999999,9
2013.0,"2","033","5","31-33",9.0,222811.0,6.166666666666667,3
2013.0,"2","033","5","42",9.5,638087.0,9.5,1
2013.0,"2","033","5","44-45",65.08333333333333,1167700.0,30.666666666666668,6
2013.0,"2","033","5","48-49",14.916666666666666,423492.0,10.0,5
2013.0,"2","033","5","51",1.0,13750.0,1.0,1
